year,SSP1,SSP2,LED
2024,848203296365.07,907607716445.07,808294809068.93
2025,846232541447.66,912196576647.66,801917238693.47
2026,844300717636.16,916819382756.16,795581948531.47
2027,842369474007.94,921435072087.94,789252409447.96
2028,840416965955.93,926019548995.93,782908289107.16
2029,838396516295.34,930520455335.34,776506726850.42
2030,836275058718.05,934899141918.05,770018407004.58
2031,834056233832.33,939157211752.33,763448339058.09
2032,831761517758.04,943316596238.04,756817693269.15
2033,829394952079.40,947379994159.40,750131413328.51
2034,826961624356.26,951351426276.26,743395303483.01
2035,824464995692.79,955233182892.79,736613611392.04
2036,821906642693.27,959025457253.27,729788843015.05
2037,819284996998.61,962724787558.61,722920702025.00
2038,816596155368.62,966324885768.62,716006887314.33
2039,813834350981.47,969817101701.47,709043569131.50
2040,810995570000.00,973194684000.00,702028572732.83
2041,809499430000.00,971399316000.00,698936328952.44
2042,807922600000.00,969507120000.00,695781238121.68
2043,806263480000.00,967516176000.00,692562463283.18
2044,804520100000.00,965424120000.00,689278864687.54
2045,802691910000.00,963230292000.00,685930533522.89
2046,800782540000.00,960939048000.00,682521128549.47
2047,798795920000.00,958555104000.00,679054531321.68
2048,796733030000.00,956079636000.00,675532087255.86
2049,794594740000.00,953513688000.00,671955040043.42
2050,792384860000.00,950861832000.00,668327105356.25
